"","name","Address","price","lat","lon","distance","type","brand"
"1","M","Vogelsangstr. 13 A, Gebenstorf",1.93,47.4874333,8.2432435,1,"unlead98","Avia"
"2","B","Hauptstr. 11, Tägerwilen",1.93,47.6597666,9.1226028,1,"unlead98","Avia"
"3","Garage","Aarauerstr. 60, Brugg",1.93,47.4757878,8.20090923274231,1,"unlead98","Avia"
"4","Tankstelle","Baselstr. 44, Reinach",1.93,47.49833675,7.5969511843085,1,"unlead98","Avia"
"5","Augst","Rheinstr. 34c, Augst",1.93,47.5349427,7.709954,1,"unlead98","Avia"
"6","Achilles","St. Gallerstr. 15, Eggersriet",1.93,47.4426333,9.46805355,1,"unlead98","Avia"
"8","Ehrendingen","Landstr. 33, Ehrendingen",1.93,47.4948853,8.3401247,1,"unlead98","Avia"
"9","Basel","Burgfelderstr. 199, Basel",1.93,47.5668085,7.5637916,1,"unlead98","Avia"
"10","Shop","Oberstr. 137, St. Gallen",1.93,47.41422715,9.35788399872039,1,"unlead98","Avia"
"11","Riehen","Lörracherstr. 75, Riehen",1.93,47.5919489,7.6529753,1,"unlead98","Avia"
"12","Tankstelle","Seestr. 177, Thalwil",1.93,47.30079265,8.56235125396205,1,"unlead98","Avia"
"13","Tankstelle","Hauptstr. 60, Münchenstein",1.93,47.5101527,7.6204682,1,"unlead98","Avia"
"14","Tankstelle","Suhrerstr. 57, Oberentfelden",1.93,47.359794,8.0549312,1,"unlead98","Avia"
"15","Tankstelle","Hegenheimerstr. 105, Basel",1.93,47.5616505,7.5679425,1,"unlead98","Avia"
"16","F","Uferstr. 10, Füllinsdorf",1.93,47.511197,7.724108,1,"unlead98","Avia"
"17","Jakob","Mühle 4, Näfels",1.93,47.0910227,9.05780760981613,1,"unlead98","Avia"
"18","Tankstelle","Birseckstr. 5, Arlesheim",1.93,47.498942,7.6182955,1,"unlead98","Avia"
"19","E","Anglikerstr. 2, Wohlen",1.93,47.3560787,8.27574324089741,1,"unlead98","Avia"
"20","Tankstelle","Bergstr. 21, Meilen",1.93,47.266834,8.6507816,1,"unlead98","Avia"
"21","Basel","Feldbergstr. 96, Basel",1.93,47.5667456,7.5943473,1,"unlead98","Avia"
"22","Tankstelle","Lenzburgerstr. 8, Mellingen",1.93,47.4173263,8.2724217,1,"unlead98","Avia"
"23","Reuss","Landstr., Gebenstorf",1.93,47.4805842,8.2354902,1,"unlead98","Avia"
